totalHandlingTime, ServerName, requestNum, timeFinishedCalc, numToCalc, timeRequestReceived, timeStartedCalc, 
0.001845837, server0,62074,1537713775,92513,1537713775,1537713775, 
0.000447035, server1,61743,1537713775,98204,1537713775,1537713775, 
0.000344992, server4,61939,1537713775,39765,1537713775,1537713775, 
0.000290155, server2,61708,1537713776,84523,1537713776,1537713776, 
0.001313925, server1,61800,1537713776,20109,1537713776,1537713776, 
0.000332117, server2,61740,1537713776,77057,1537713776,1537713776, 
0.000237942, server3,61382,1537713777,28044,1537713777,1537713777, 
0.000322104, server0,62200,1537713777,34038,1537713777,1537713777, 
0.000208855, server2,61799,1537713777,11099,1537713777,1537713777, 
0.000437975, server3,61444,1537713778,47748,1537713778,1537713778, 
0.000191927, server2,61847,1537713778,60209,1537713778,1537713778, 
0.000324965, server2,61865,1537713779,46924,1537713779,1537713779, 
0.000686884, server1,61962,1537713779,75776,1537713779,1537713779, 
0.000231028, server1,61986,1537713779,31397,1537713779,1537713779, 
0.000497818, server2,61934,1537713780,33010,1537713780,1537713780, 
0.000346899, server3,61580,1537713780,36416,1537713780,1537713780, 
0.000345945, server4,62225,1537713780,86707,1537713780,1537713780, 
0.000380993, server3,61619,1537713781,76258,1537713781,1537713781, 
0.000304937, server0,62443,1537713781,85518,1537713781,1537713781, 
0.000360966, server0,62466,1537713782,80855,1537713782,1537713782, 
0.000406981, server4,62315,1537713782,25682,1537713782,1537713782, 
0.000280142, server1,62161,1537713783,80010,1537713783,1537713783, 
0.000293016, server1,62190,1537713783,63143,1537713783,1537713783, 
0.000215054, server2,62133,1537713783,66140,1537713783,1537713783, 
0.000545979, server1,62227,1537713784,66815,1537713784,1537713784, 
0.000406981, server2,62170,1537713784,54956,1537713784,1537713784, 
0.000270128, server3,61807,1537713784,55391,1537713784,1537713784, 
0.00022912, server3,61820,1537713785,17017,1537713785,1537713785, 
0.000458002, server2,62225,1537713785,78091,1537713785,1537713785, 
0.000272989, server4,62498,1537713785,98142,1537713785,1537713785, 
0.000375032, server2,62259,1537713786,81339,1537713786,1537713786, 
0.00030899, server2,62275,1537713786,40463,1537713786,1537713786, 
0.000411034, server2,62296,1537713786,29524,1537713786,1537713786, 
0.000446081, server3,61941,1537713787,30414,1537713787,1537713787, 
0.000352859, server0,62767,1537713787,60094,1537713787,1537713787, 
0.001610041, server2,62370,1537713788,91460,1537713788,1537713788, 
0.000294924, server1,62470,1537713788,87703,1537713788,1537713788, 
0.000529051, server1,62500,1537713789,61079,1537713789,1537713789, 
0.000185966, server4,62690,1537713789,47235,1537713789,1537713789, 
0.000281096, server3,62086,1537713789,31618,1537713789,1537713789, 
0.00031805, server3,62112,1537713790,36514,1537713790,1537713790, 
0.000461102, server4,62762,1537713790,77985,1537713790,1537713790, 
0.000313044, server2,62530,1537713791,15818,1537713791,1537713791, 
0.000287056, server4,62800,1537713791,94155,1537713791,1537713791, 
0.00059104, server1,62650,1537713791,79125,1537713791,1537713791, 
0.000643015, server1,62666,1537713792,53575,1537713792,1537713792, 
0.003704071, server2,62603,1537713792,26643,1537713792,1537713792, 
0.000228882, server3,62243,1537713792,94766,1537713792,1537713792, 
0.000538111, server2,62639,1537713793,67930,1537713793,1537713793, 
0.000320911, server4,62911,1537713793,13628,1537713793,1537713793, 
0.000248909, server0,63106,1537713794,37913,1537713794,1537713794, 
0.000432968, server1,62786,1537713794,62603,1537713794,1537713794, 
0.000331163, server1,62810,1537713794,80041,1537713794,1537713794, 
0.000234127, server2,62755,1537713795,25345,1537713795,1537713795, 
0.000355005, server3,62399,1537713795,56973,1537713795,1537713795, 
0.000326157, server2,62804,1537713796,12954,1537713796,1537713796, 
0.000262022, server1,62907,1537713796,83395,1537713796,1537713796, 
0.000255108, server3,62475,1537713796,35711,1537713796,1537713796, 
0.000301123, server2,62874,1537713797,21002,1537713797,1537713797, 
0.004166126, server2,62894,1537713797,88741,1537713797,1537713797, 
0.000372171, server1,62987,1537713798,30741,1537713798,1537713798, 
0.000509977, server0,63350,1537713798,94482,1537713798,1537713798, 
0.000276089, server2,62956,1537713798,44955,1537713798,1537713798, 
